id|name|faction_id|source_id|role|unit_composition|Cost|cost_per_unit
1|warboss|ork|46.0|hq|a warboss is equipped with: big choppa; kombi-rokkit; 2 sluggas; stikkbombs.||False
2|warboss in mega armour|ork|46.0|hq|a warboss in mega armour is equipped with: big shoota; ’uge choppa.||False
3|warboss on warbike|ork|146.0|hq|a warboss on warbike is equipped with: 2 dakkaguns; killsaw.||False
4|weirdboy|ork|46.0|hq|a weirdboy is equipped with: weirdboy staff.||False
5|big mek|ork|94.0|hq|a big mek is a single model equipped with: slugga, choppa, stikkbombs. it can be accompanied by a grot oiler.||False
6|big mek in mega armour|ork|46.0|hq|a big mek in mega armour is equipped with: kustom mega-blasta; power klaw.||False
7|big mek on warbike|ork|94.0|hq|a big mek on warbike is a single model equipped with: 2 dakkaguns; slugga; choppa; stikkbombs.||False
8|ghazghkull thraka|ork|46.0|hq|"ghazghkull thraka is equipped with: mork’s roar; gork’s klaw; stikkbombs. your army can only include one <span class=""tooltip00304"" data-tooltip-content=""#tooltip_content00304"" data-tooltip-anchor=""#tooltip_content00304""><span class=""kwb"">ghazghkull</span> <span class=""kwb"">thraka</span></span> model."||False
9|kaptin badrukk|ork|46.0|hq|"kaptin badrukk is equipped with: da rippa; slugga; choppa; stikkbombs. your army can only include one <span class=""tooltip00305"" data-tooltip-content=""#tooltip_content00305"" data-tooltip-anchor=""#tooltip_content00305""><span class=""kwb"">kaptin</span> <span class=""kwb"">badrukk</span></span> model."||False
10|boss zagstruk|ork|46.0|hq|"boss zagstruk is equipped with: blitz missiles; slugga; choppa; da vulcha’s klaws. your army can only include one <span class=""tooltip00306"" data-tooltip-content=""#tooltip_content00306"" data-tooltip-anchor=""#tooltip_content00306""><span class=""kwb"">boss</span> <span class=""kwb"">zagstruk</span></span> model."||False
11|boss snikrot|ork|46.0|hq|"boss snikrot is equipped with: mork’s teeth; stikkbombs. your army can only include one <span class=""tooltip00307"" data-tooltip-content=""#tooltip_content00307"" data-tooltip-anchor=""#tooltip_content00307""><span class=""kwb"">boss</span> <span class=""kwb"">snikrot</span></span> model."||False
12|mek|ork|46.0|elites|a mek is equipped with: kustom mega-slugga; choppa.||False
13|painboy|ork|46.0|elites|a painboy is equipped with: power klaw; ’urty syringe.||False
14|painboy on warbike|ork|94.0|elites|a painboy on warbike is a single model equipped with: 2 dakkaguns; ’urty syringe; power klaw.||False
15|mad dok grotsnik|ork|46.0|elites|"mad dok grotsnik is equipped with: slugga; power klaw; ’urty syringe. your army can only include one <span class=""tooltip00308"" data-tooltip-content=""#tooltip_content00308"" data-tooltip-anchor=""#tooltip_content00308""><span class=""kwb"">mad</span> <span class=""kwb"">dok</span> <span class=""kwb"">grotsnik</span></span> model."||False
16|boyz|ork|46.0|troops|if this unit contains 11 or more models, it has <b>power rating 10</b>. if this unit contains 21 or more models, it has <b>power rating 15</b>. every model is equipped with: slugga; choppa; stikkbombs.||False
17|gretchin|ork|46.0|troops|if this unit contains 11 or more models, it has <b>power rating 4</b>. if this unit contains 21 or more models, it has <b>power rating 6</b>. every model is equipped with: grot blasta.||False
18|runtherd|ork|46.0|elites|a runtherd is equipped with: slugga; grabba stikk.||False
19|burna boyz|ork|46.0|elites|this unit must contain 1 spanner for every 4 burna boyz it contains. if this unit contains 6 or more models, it has <b>power rating 6</b>. if this unit contains 11 or more models, it has <b>power rating 9</b>. every spanner is equipped with: big shoota. every burna boy is equipped with: burna.||False
20|tankbustas|ork|46.0|elites|if this unit contains 6 or more models, it has <b>power rating 8</b>. if this unit contains 11 or more models, it has <b>power rating 12</b>. every model is equipped with: rokkit launcha.||False
21|nobz|ork|46.0|elites|if this unit contains 6 or more models, it has <b>power rating 12</b>. every model is equipped with: slugga; choppa; stikkbombs.||False
22|nob with waaagh! banner|ork|46.0|elites|a nob with waaagh! banner is equipped with: kustom shoota; waaagh! banner; stikkbombs.||False
