datasheet_id|line|button|description
1|1|•|this model’s kombi-rokkit can be replaced with one of the following: 1 kombi-skorcha; 1 kustom shoota.
1|2|•|this model’s big choppa can be replaced with 1 power klaw.
1|3|•|this model can be equipped with 1 attack squig.
3|1|•|this model’s killsaw can be replaced with one of the following: 1 big choppa; 1 power klaw.
5|1|•|"this model can be equipped with one of the following instead of 1 slugga: one weapon from the <i><span class=""tooltip00466"" data-tooltip-content=""#tooltip_content00466""><span class=""tt"">choppy</span> <span class=""tt"">weapons</span></span></i> list; one weapon from the <i><span class=""tooltip00467"" data-tooltip-content=""#tooltip_content00467""><span class=""tt"">souped-up</span> <span class=""tt"">weapons</span></span></i> list."
5|2|•|"this model can be equipped with one of the following instead of 1 choppa: 1 killsaw; 1 weapon from the <i><span class=""tooltip00466"" data-tooltip-content=""#tooltip_content00466""><span class=""tt"">choppy</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00467"" data-tooltip-content=""#tooltip_content00467""><span class=""tt"">souped-up</span> <span class=""tt"">weapons</span></span></i> list."
6|1|•|this model’s kustom mega-blasta can be replaced with one of the following: 1 killsaw; 1 kombi-rokkit; 1 kombi-skorcha; 1 kustom shoota.
6|2|•|this model can be equipped with one of the following: 1 tellyport blasta; 1 kustom force field.
6|3|•|this model can be equipped with 1 grot oiler.
7|1|•|"this model can be equipped with one of the following instead of 1 slugga: 1 shokk attack gun; 1 kustom force field; 1 weapon from the <i><span class=""tooltip00467"" data-tooltip-content=""#tooltip_content00467""><span class=""tt"">souped-up</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00466"" data-tooltip-content=""#tooltip_content00466""><span class=""tt"">choppy</span> <span class=""tt"">weapons</span></span></i> list."
7|2|•|"this model can be equipped with one of the following instead of 1 choppa: 1 killsaw; 1 weapon from the <i><span class=""tooltip00467"" data-tooltip-content=""#tooltip_content00467""><span class=""tt"">souped-up</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00466"" data-tooltip-content=""#tooltip_content00466""><span class=""tt"">choppy</span> <span class=""tt"">weapons</span></span></i> list."
9|1|•|this model can be equipped with 1 ammo runt.
12|1|•|this model can replace its choppa with: 1 killsaw.
12|2|•|this model can be equipped with 1 grot oiler.
13|1|•|this model can be equipped with 1 grot orderly.
14|1|•|this model can be equipped with 1 killsaw instead of 1 power klaw.
16|1|•|any ork boy’s slugga and choppa can be replaced with 1 shoota.
16|2|•|for every 10 models this unit contains, 1 ork boy’s choppa and slugga can be replaced with one of the following: 1 big shoota; 1 rokkit launcha.
16|3|•|the boss nob’s slugga and choppa can be replaced with two of the following: 1 big choppa; 1 choppa; 1 killsaw; 1 power klaw; 1 power stabba; 1 slugga.
16|4|•|the boss nob’s slugga and choppa can be replaced with one of the following: 1 kombi-rokkit; 1 kombi-skorcha.
18|1|•|this model’s grabba stikk can be replaced with 1 grot-prod.
18|2|•|this model can be equipped with one of the following: 1 squig hound; 1 grot-lash.
19|1|•|any number of spanners can each have their big shoota replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha.
20|1|•|for every 5 models this unit contains, 1 tankbusta’s rokkit launcha can be replaced with 1 tankhammer.
20|2|•|for every 5 models this unit contains, 1 tankbusta’s rokkit launcha can be replaced with 1 pair of rokkit pistols.
20|3|•|for every 5 models this unit contains, this unit can be equipped with up to 2 bomb squigs.
21|1|•|any number of models can each have their slugga and choppa replaced with two of the following: 1 big choppa; 1 choppa; 1 killsaw; 1 power klaw; 1 power stabba; 1 slugga.
21|2|•|any number of models can each have their slugga and choppa replaced with one of the following: 1 kombi-rokkit; 1 kombi-skorcha.
21|3|•|for every 5 models this unit contains, this unit can be equipped with 1 ammo runt.
24|1|•|any model’s power klaw can be replaced with 1 killsaw.
24|2|•|any model’s kustom shoota can be replaced with 1 killsaw.
24|3|•|any model’s kustom shoota can be replaced with one of the following: 1 kombi-skorcha; 1 kombi-rokkit.
25|1|•|the boss nob’s choppa can be replaced with one of the following: 1 big choppa; 1 power klaw.
25|2|•|for every 10 models this unit contains, 1 kommando s slugga and choppa can be replaced with 1 big shoota.
25|3|•|for every 10 models this unit contains, 1 kommando’s slugga and choppa can be replaced with 1 breacha ram.
25|4|•|for every 10 models this unit contains, 1 kommando’s slugga can be replaced with 1 shokka pistol.
25|5|•|for every 10 models this unit contains, 1 kommando’s slugga and choppa can be replaced with 1 burna.
25|6|•|for every 10 models this unit contains, 1 kommando’s slugga and choppa can be replaced with 1 kustom shoota.
25|7|•|for every 10 models this unit contains, 1 kommando’s slugga and choppa can be replaced with 1 rokkit launcha.
25|8|•|for every 10 models this unit contains, this unit can be equipped with 1 bomb squig.
25|9|•|for every 10 models this unit contains, this unit can be equipped with 1 distraction grot.
26|1|•|this model can be equipped with one of the following: 1 grabbin’ klaw; 1 wreckin’ ball.
27|1|•|the boss nob’s choppa can be replaced with 1 power klaw.
28|1|•|for every 3 models this unit contains, 1 model’s kopta rokkits can be replaced with 1 kustom mega-blasta and 1 big bomb.
29|1|•|this model can be equipped with 2 additional supa-shootas.
30|1|•|this model can be equipped with 1 skorcha missile racks.
32|1|•|this model’s 2 wazbom mega-kannons can be replaced with 2 tellyport mega-blastas.
32|2|•|this model can be equipped with 2 supa-shootas.
32|3|•|this model’s stikkbomb flinga can be replaced with 1 blastajet force field.
33|1|•|any warbiker can be equipped with one of the following: 1 slugga; 1 choppa.
33|2|•|the boss nob on warbike can be equipped with one of the following: 1 slugga; 1 big choppa; 1 choppa; 1 power klaw.
34|1|•|any model can be equipped with 1 rack of rokkits instead of 1 twin big shoota.
36|1|•|any model can be equipped with 1 rack of rokkits instead of 1 twin big shoota.
37|1|•|any big gun can be equipped with one of the following instead of 1 kannon: 1 lobba; 1 zzap gun.
38|1|•|this model’s smasha gun can be replaced with one of the following: 1 bubblechukka; 1 kustom mega-kannon; 1 traktor kannon.
39|1|•|this model can be equipped with one of the following: 1 kannon; 1 kiiikannon; 1 zzap gun.
39|2|•|this model can be equipped with 1 lobba.
