id|name|faction_id|description
2|’Ere We Go|ORK|irrelevant
3|Mob Rule|ORK|"while -ua- is within 6"" of a -fu- -key-clan-key- mob unit that is not under half strength, -ua- is never considered to be under half strength."
6|Breakin’ Heads|ORK|irrelevant
7|Waaagh! Energy|ORK|irrelevant
9|Big Mekaniak|ORK|irrelevant
10|Grot oiler|ORK|irrelevant
12|Blastajet force field|ORK|"(aura) while a -fu- orks aircraft model is within 9"" of the bearer, it has a 5-isv-. the range of this aura ability can never be increased, unless specifically stated otherwise."
14|Prophet of Gork and Mork|ORK|-ma- has a 4-isv-. in addition, -ma- can only lose a maximum of 4 wounds in each phase.
16|Ammo runt|ORK|once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.we recommend placing an ammo runt model next to the unit as a reminder, removing it once this ability has been used (an ammo runt does not count as a model for any rules purposes).
17|Flashiest Gitz (Aura)|ORK|"while a -fu- flash gitz unit within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
18|Goldtoof Armour|ORK|-ma- has a 4-isv-.
19|Full Throttle|ORK|irrelevant
21|Drill Boss (Aura)|ORK|irrelevant
22|Sneakiest Git|ORK|each time an attack is allocated to -ma- while it is receiving the benefits of cover, add an additional 2 to any armour saving throw made against that attack.
23|Kunnin’ Infiltrator|ORK|irrelevant
24|Red Skull Kommandos (Aura)|ORK|"while a -fu- blood axes kommandos unit is within 6"" of -ma-, each time a model in that unit makes a melee attack, add 1 to that attack’s hit roll."
25|Terrifying Killer (Aura)|ORK|irrelevant
26|Mekaniak|ORK|irrelevant
27|Grot Orderly|ORK|once per battle, if a 1 is rolled when using the bearer’s sawbonez ability you can re-roll the dice.we recommend placing a grot orderly model next to the unit os a reminder, removing it once this ability has been used (a grot orderly does not count as a model for any rules purposes).
28|Dok’s Tools (Aura)|ORK|"while a -fu- -key-clan-key- infantry, -key-clan-key- biker or -key-clan-key- cavalry unit is within 3"" of -ma-, each time a model in that unit would lose a wound, roll one d6: on a 6, that wound is not lost."
30|Dok’s Toolz (Aura)|ORK|"while a -fu- orks infantry or orks biker unit is within 3"" of -ma-, each time a model in that unit would lose a wound, roll one d6: on a 6, that wound is not lost."
31|Cybork Body|ORK|each time -ma- would lose a wound, roll one d6: on a 5+, that wound is not lost.
32|One Scalpel Short of a Medpack|ORK|irrelevant
35|Squig hound|ORK|irrelevant
36|Grot-lash|ORK|irrelevant
37|Mekaniak|ORK|irrelevant
38|Pyromaniaks|ORK|irrelevant
39|Tank Hunters|ORK|each time a model with this ability makes an attack that targets a vehicle unit, add 1 to that attack’s hit roll.
40|Bomb squig|ORK|"once per turn, when a unit with a bomb squig is selected to shoot or fire overwatch, if it has any bomb squigs remaining, the unit can release one. when it does so, you can select one -eu- unit (excluding aircraft) that is within 12"" of the unit with a bomb squig (when firing overwatch this must be the charging unit) and roll one d6, adding 1 to the result if that -eu- unit is a vehicle: on a 3+, that -eu- unit suffers d3 mortal wounds. the number of bomb squigs the unit is equipped with is then reduced by 1.we recommend placing a bomb squig model next to the unit for each bomb squig it is equipped with as a reminder, removing one each time this ability is used (a bomb squig does not count as a model for any rules purposes)."
43|Ammo runt|ORK|once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.we recommend placing an ammo runt model next to the unit as a reminder, removing it once this ability has been used (an ammo runt does not count as a model for any rules purposes).
44|Waaagh! Banner|ORK|"while a -fu- -key-clan-key- orks unit is within 6"" of -ma-, each time a model in that unit makes a melee attack, add 1 to that attack’s hit roll."
46|Sneaky Gitz|ORK|-ea- in -ua- while it is receiving the benefits of cover, add an additional 2 to any armour saving throw made against that attack.
47|Kunnin’ Infiltrators|ORK|irrelevant
48|Ramshackle|ORK|each time an attack is allocated to -ma-, unless that attack has a strength characteristic of 8 or more, subtract 1 from the damage characteristic of that attack (to a minimum of 1).
50|Explodes|ORK|irrelevant
51|Full Throttle|ORK|irrelevant
