id|name|faction_id|source_id|role|unit_composition|Cost|cost_per_unit
1|Warboss|ORK|46.0|HQ|A Warboss is equipped with: big choppa; kombi-rokkit; 2 sluggas; stikkbombs.||False
2|Warboss in Mega Armour|ORK|46.0|HQ|A Warboss in Mega Armour is equipped with: big shoota; ’uge choppa.||False
3|Warboss on Warbike|ORK|146.0|HQ|A Warboss on Warbike is equipped with: 2 dakkaguns; killsaw.||False
4|Weirdboy|ORK|46.0|HQ|A Weirdboy is equipped with: Weirdboy staff.||False
5|Big Mek|ORK|94.0|HQ|A Big Mek is a single model equipped with: slugga, choppa, stikkbombs. It can be accompanied by a Grot Oiler.||False
6|Big Mek in Mega Armour|ORK|46.0|HQ|A Big Mek in Mega Armour is equipped with: kustom mega-blasta; power klaw.||False
7|Big Mek on Warbike|ORK|94.0|HQ|A Big Mek on Warbike is a single model equipped with: 2 dakkaguns; slugga; choppa; stikkbombs.||False
8|Ghazghkull Thraka|ORK|46.0|HQ|"Ghazghkull Thraka is equipped with: Mork’s Roar; Gork’s Klaw; stikkbombs. Your army can only include one <span class=""tooltip00304"" data-tooltip-content=""#tooltip_content00304"" data-tooltip-anchor=""#tooltip_content00304""><span class=""kwb"">GHAZGHKULL</span> <span class=""kwb"">THRAKA</span></span> model."||False
9|Kaptin Badrukk|ORK|46.0|HQ|"Kaptin Badrukk is equipped with: Da Rippa; slugga; choppa; stikkbombs. Your army can only include one <span class=""tooltip00305"" data-tooltip-content=""#tooltip_content00305"" data-tooltip-anchor=""#tooltip_content00305""><span class=""kwb"">KAPTIN</span> <span class=""kwb"">BADRUKK</span></span> model."||False
10|Boss Zagstruk|ORK|46.0|HQ|"Boss Zagstruk is equipped with: blitz missiles; slugga; choppa; Da Vulcha’s Klaws. Your army can only include one <span class=""tooltip00306"" data-tooltip-content=""#tooltip_content00306"" data-tooltip-anchor=""#tooltip_content00306""><span class=""kwb"">BOSS</span> <span class=""kwb"">ZAGSTRUK</span></span> model."||False
11|Boss Snikrot|ORK|46.0|HQ|"Boss Snikrot is equipped with: Mork’s Teeth; stikkbombs. Your army can only include one <span class=""tooltip00307"" data-tooltip-content=""#tooltip_content00307"" data-tooltip-anchor=""#tooltip_content00307""><span class=""kwb"">BOSS</span> <span class=""kwb"">SNIKROT</span></span> model."||False
12|Mek|ORK|46.0|Elites|A Mek is equipped with: kustom mega-slugga; choppa.||False
13|Painboy|ORK|46.0|Elites|A Painboy is equipped with: power klaw; ’urty syringe.||False
14|Painboy on Warbike|ORK|94.0|Elites|A Painboy on Warbike is a single model equipped with: 2 dakkaguns; ’urty syringe; power klaw.||False
15|Mad Dok Grotsnik|ORK|46.0|Elites|"Mad Dok Grotsnik is equipped with: slugga; power klaw; ’urty syringe. Your army can only include one <span class=""tooltip00308"" data-tooltip-content=""#tooltip_content00308"" data-tooltip-anchor=""#tooltip_content00308""><span class=""kwb"">MAD</span> <span class=""kwb"">DOK</span> <span class=""kwb"">GROTSNIK</span></span> model."||False
16|Boyz|ORK|46.0|Troops|If this unit contains 11 or more models, it has <b>Power Rating 10</b>. If this unit contains 21 or more models, it has <b>Power Rating 15</b>. Every model is equipped with: slugga; choppa; stikkbombs.||False
17|Gretchin|ORK|46.0|Troops|If this unit contains 11 or more models, it has <b>Power Rating 4</b>. If this unit contains 21 or more models, it has <b>Power Rating 6</b>. Every model is equipped with: grot blasta.||False
18|Runtherd|ORK|46.0|Elites|A Runtherd is equipped with: slugga; grabba stikk.||False
19|Burna Boyz|ORK|46.0|Elites|This unit must contain 1 Spanner for every 4 Burna Boyz it contains. If this unit contains 6 or more models, it has <b>Power Rating 6</b>. If this unit contains 11 or more models, it has <b>Power Rating 9</b>. Every Spanner is equipped with: big shoota. Every Burna Boy is equipped with: burna.||False
