datasheet_id|line|ability_id|cost|model|Unnamed: 7
1|1|2|0||
1|2|5745|0||
1|3|5748|0||
1|4|5749|0||
2|1|2|0||
2|2|5745|0||
2|3|5748|0||
2|4|5750|0||
2|5|5749|0||
3|1|2|0||
3|2|5745|0||
3|3|5751|0||
3|4|5748|0||
4|3|7|0||
4|1|2|0||
4|2|5745|0||
5|1|2|0||
5|2|3|0||
5|3|2957|0||
5|4|9|0||
5|5|10|0||
6|1|2|0||
6|2|5745|0||
6|3|9|0||
6|4|10|5||
6|5|4121|30||
7|5|3914|20||
7|4|9|0||
7|3|2957|0||
7|2|3|0||
7|1|2|0||
8|1|2|0||
8|2|5745|0||
8|3|4115|0||
8|4|5746|0||
8|5|4114|0||
8|6|14|0||
9|1|2|0||
9|2|5745|0||
9|3|18|0||
9|4|17|0||
9|5|16|5||
10|6|2981|0||
10|5|21|0||
10|4|2980|0||
10|1|2|0||
10|2|5745|0||
10|3|19|0||
11|8|22|0||
11|1|2|0||
11|2|5745|0||
11|3|23|0||
11|4|25|0||
11|5|5748|0||
11|6|2979|0||
11|7|24|0||
12|4|5768|5||
12|3|5767|0||
12|1|2|0||
12|2|5745|0||
13|1|2|0||
13|2|5745|0||
13|3|5763|0||
13|4|5764|0||
13|5|27|5||
14|1|2|0||
14|2|3|0||
14|3|2957|0||
14|4|3916|0||
14|5|3915|0||
15|4|32|0||
15|6|2985|0||
15|5|30|0||
15|1|2|0||
15|2|5745|0||
15|3|31|0||
16|1|2|0||
16|2|3|0||
16|3|5745|0||
17|1|5745|0||
17|2|5761|0||
17|3|5762|0||
18|4|36|5||
18|3|2988|0||
18|5|35|5||
18|1|2|0||
18|2|5745|0||
19|5|5766|0||
19|4|5765|0||
19|1|2|0||
19|2|3|0||
19|3|5745|0||
20|1|2|0||
20|2|3|0||
20|3|5745|0||
20|4|39|0||
20|5|40|5||
21|1|2|0||
21|2|3|0||
21|3|5745|0||
21|4|43|5||
22|3|44|0||
22|2|5745|0||
22|1|2|0||
24|1|2|0||
24|2|3|0||
24|3|5745|0||
25|7|40|5||
25|1|2|0||
25|2|3|0||
25|3|5745|0||
25|4|47|0||
25|5|46|0||
25|6|2989|0||
25|8|5769|10||
26|5|3011|0||
26|4|4343|0||
26|3|5745|0||
26|2|48|0||
26|1|2|0||
27|1|2|0||
27|2|3|0||
27|3|5745|0||
27|4|51|0||
27|5|3004|0||
28|7|5774|5||
28|6|5775|0||
28|5|5771|0||
28|2|3|0||
28|3|48|0||
28|1|2|0||
28|4|5745|0||
29|5|55|0||
29|6|56|0||
29|4|5779|0||
29|2|5745|0||
29|1|48|0||
29|3|57|0||
30|1|48|0||
30|2|5745|0||
30|3|55|0||
30|4|56|0||
30|5|62|0||
30|6|57|0||
30|7|5779|0||
30|8|60|0||
31|6|64|0||
31|8|63|0||
31|7|5779|0||
31|5|57|0||
31|1|48|0||
31|3|55|0||
31|2|5745|0||
31|4|56|0||
32|1|48|0||
32|2|5745|0||
32|3|55|0||
32|4|56|0||
32|5|57|0||
32|6|5779|0||
32|7|12|20||
33|5|5771|0||
33|4|5770|0||
33|2|3|0||
33|1|2|0||
33|3|5745|0||
34|1|2|0||
34|2|3|0||
34|3|2957|0||
34|4|66|0||
35|4|66|0||
35|1|2|0||
35|2|3|0||
35|3|2957|0||
36|4|66|0||
36|3|2957|0||
36|2|3|0||
36|1|2|0||
37|1|2957|0||
37|2|69|0||
37|3|71|0||
38|1|48|0||
38|2|5745|0||
38|3|5776|0||
39|1|2|0||
39|2|48|0||
39|3|5745|0||
39|4|50|0||
39|5|4343|0||
39|6|74|15||
40|5|3010|0||
40|4|77|0||
40|1|2|0||
40|2|48|0||
40|3|5745|0||
41|1|48|0||
41|2|5745|0||
41|3|79|0||
41|4|78|0||
42|1|2|0||
42|2|5745|0||
42|3|84|0||
42|4|80|0||
42|5|81|30||
43|3|84|0||
43|4|83|0||
43|2|5745|0||
43|1|2|0||
44|1|2|0||
44|2|3|0||
44|3|5745|0||
44|4|5766|0||
45|1|2|0||
45|2|3|0||
45|3|5745|0||
45|4|2959|5||
45|5|85|5||
46|2|5745|0||
46|6|3013|0||
46|5|84|0||
46|1|2|0||
46|3|87|0||
46|4|90|0||
47|5|2982|0||
47|1|2|0||
47|2|3|0||
47|3|2957|0||
47|4|6|0||
47|6|92|0||
48|4|3018|0||
48|3|94|0||
48|5|5064|0||
48|1|2|0||
48|2|5745|0||
49|3|5745|0||
49|1|2|0||
49|2|48|0||
50|1|2|0||
50|2|48|0||
50|3|5745|0||
50|4|100|0||
51|1|2|0||
51|2|48|0||
51|3|5745|0||
51|4|102|0||
51|5|5069|0||
51|6|101|0||
52|4|5068|0||
52|6|5067|0||
52|5|107|0||
52|2|48|0||
52|1|2|0||
52|3|5745|0||
53|1|2|0||
53|2|2957|0||
53|3|5056|0||
54|5|5070|0||
54|1|2|0||
54|2|48|0||
54|3|5745|0||
54|4|4343|0||
54|6|109|0||
55|5|5071|0||
55|6|5072|0||
55|4|4343|0||
55|1|2|0||
55|2|48|0||
55|3|5745|0||
56|1|2|0||
56|2|5745|0||
