datasheet_id|keyword|model|is_faction_keyword
1|Warboss||False
1|Character||False
1|Infantry||False
1|<Clan>||True
1|Ork||True
2|Warboss||False
2|Character||False
2|Infantry||False
2|Mega Armour||False
2|<Clan>||True
2|Ork||True
3|Speed Freeks||False
3|Speedboss||False
3|Character||False
3|Biker||False
3|<Clan>||True
3|Ork||True
4|Character||False
4|Weirdboy||False
4|Infantry||False
4|Psyker||False
4|<Clan>||True
4|Ork||True
5|Big Mek|Big Mek|False
5|Character|Big Mek|False
5|Infantry|Grot Oiler|False
5|Gretchin|Grot Oiler|False
5|Infantry|Big Mek|False
5|Grot Oiler|Grot Oiler|False
5|<Clan>||True
5|Ork||True
6|Big Mek||False
6|Character||False
6|Infantry||False
6|Mega Armour||False
6|<Clan>||True
6|Ork||True
7|Speed Freeks||False
7|Big Mek||False
7|Character||False
7|Biker||False
7|<Clan>||True
7|Ork||True
8|Warboss||False
8|Monster||False
8|Supreme Commander||False
8|Ghazghkull Thraka||False
8|Character||False
8|Ork||True
8|Goffs||True
9|Character||False
9|Flash Gitz||False
9|Warboss||False
9|Kaptin Badrukk||False
9|Infantry||False
9|Ork||True
9|Freebooterz||True
10|Stormboy||False
10|Infantry||False
10|Jump Pack||False
10|Character||False
10|Boss Zagstruk||False
10|Fly||False
10|Goffs||True
10|Ork||True
11|Infantry||False
11|Boss Snikrot||False
11|Character||False
11|Kommando||False
11|Ork||True
11|Blood Axes||True
12|Character||False
12|Mek||False
12|Infantry||False
12|Ork||True
12|<Clan>||True
13|Infantry||False
13|Character||False
13|Painboy||False
13|Ork||True
13|<Clan>||True
14|Speed Freeks||False
14|Painboy||False
14|Character||False
14|Biker||False
14|Ork||True
14|<Clan>||True
15|Mad Dok Grotsnik||False
15|Infantry||False
15|Character||False
15|Painboy||False
15|Ork||True
15|Deathskulls||True
16|Infantry||False
16|Tankbusta Bombs||False
16|Mob||False
16|Boyz||False
16|Core||False
16|<Clan>||True
16|Ork||True
17|Gretchin||False
17|Core||False
17|Infantry||False
17|Ork||True
17|<Clan>||True
18|Character||False
18|Runtherd||False
18|Infantry||False
18|Ork||True
18|<Clan>||True
19|Core||False
19|Mob||False
19|Infantry||False
19|Burna Boyz||False
19|<Clan>||True
19|Ork||True
20|Tankbusta Bombs||False
20|Infantry||False
20|Core||False
20|Mob||False
20|Tankbustas||False
20|Ork||True
20|<Clan>||True
21|Mob||False
21|Nobz||False
21|Core||False
21|Infantry||False
21|Ork||True
21|<Clan>||True
22|Character||False
22|Nob||False
22|Infantry||False
22|Ork||True
22|<Clan>||True
24|Mega Armour||False
24|Core||False
24|Meganobz||False
24|Infantry||False
24|Nobz||False
24|Mob||False
24|Ork||True
24|<Clan>||True
25|Core||False
25|Kommandos||False
25|Mob||False
25|Infantry||False
25|Tankbusta Bombs||False
25|<Clan>||True
25|Ork||True
26|Trukk||False
26|Transport||False
26|Vehicle||False
26|<Clan>||True
26|Ork||True
27|Infantry||False
27|Core||False
27|Mob||False
27|Stormboyz||False
27|Jump Pack||False
27|Fly||False
