id|name|type|description|is_relic|faction_id|faction_name
000000002|Big shoota|Ranged Weapons||False|ORK|Orks
000000004|Bubblechukka|Ranged Weapons|After selecting targets, roll one D3 to determine which of the profiles below to make attacks with. If a unit contains more than one bubblechukka that is targeting the same unit, determine the profiles for each weapon separately before any attacks are resolved against that target.|False|ORK|Orks
000000005|Burna (shooting)|Ranged Weapons||False|ORK|Orks
000000007|Dakkagun|Ranged Weapons||False|ORK|Orks
000000008|Deffgun|Ranged Weapons||False|ORK|Orks
000000009|Deffkannon|Ranged Weapons||False|ORK|Orks
s00000010|Grot oiler|Other Wargear|"Once per battle, when the bearer repairs a <span class=""tooltip00526"" data-tooltip-content=""#tooltip_content00526"" data-tooltip-anchor=""#tooltip_content00526""><span class=""kwb"">VEHICLE</span></span> model, that model can regain 1 additional lost wound.<br><br><i>We recommend placing a Grot Oiler model next to the unit as a reminder, removing it once this ability has been used (a Grot Oiler does not count as a model for any rules purposes).</i>"|False|ORK|Orks
000000010|Deffstorm mega-shoota|Ranged Weapons||False|ORK|Orks
000000011|Grot blasta|Ranged Weapons||False|ORK|Orks
s00000012|Blastajet force field|Other Wargear|"(Aura) While a friendly <span class=""tooltip00527"" data-tooltip-content=""#tooltip_content00527"" data-tooltip-anchor=""#tooltip_content00527""><span class=""kwb"">ORKS</span> <span class=""kwb"">AIRCRAFT</span></span> model is within 9"" of the bearer, it has a 5+ <a href=""/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a>. The range of this <a href=""/wh40k9ed/the-rules/core-rules/#Aura-Abilities"">aura ability</a> can never be increased, unless specifically stated otherwise."|False|ORK|Orks
000000012|Grotzooka|Ranged Weapons||False|ORK|Orks
000000013|Kannon|Ranged Weapons|Before selecting targets, select one of the profiles below to make attacks with.|False|ORK|Orks
000000014|Kombi-rokkit|Ranged Weapons|"Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>."|False|ORK|Orks
000000015|Kombi-skorcha|Ranged Weapons|"Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>."|False|ORK|Orks
s00000016|Ammo runt|Other Wargear|"Once per battle, when the bearer makes a ranged attack, you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.<br><br><i>We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).</i>"|False|ORK|Orks
000000016|Kopta rokkits|Ranged Weapons||False|ORK|Orks
000000017|Kustom mega-blasta|Ranged Weapons||False|ORK|Orks
000000018|Kustom mega-kannon|Ranged Weapons||False|ORK|Orks
000000019|Kustom mega-slugga|Ranged Weapons||False|ORK|Orks
000000020|Kustom shoota|Ranged Weapons||False|ORK|Orks
000000021|Lobba|Ranged Weapons||False|ORK|Orks
000000022|Pair of rokkit pistols|Ranged Weapons||False|ORK|Orks
000000023|Rack of rokkits|Ranged Weapons||False|ORK|Orks
000000024|Da Rippa|Ranged Weapons|Before selecting targets, select one of the profiles below to make attacks with.|False|ORK|Orks
000000025|Rokkit launcha|Ranged Weapons||False|ORK|Orks
000000026|Shokk attack gun|Ranged Weapons||False|ORK|Orks
s00000027|Grot Orderly|Other Wargear|"Once per battle, if a 1 is rolled when using the bearer’s <span class=""redfont"">Sawbonez</span> ability you can re-roll the dice.<br><br><i>We recommend placing a Grot Orderly model next to the unit os a reminder, removing it once this ability has been used (a Grot Orderly does not count as a model for any rules purposes).</i>"|False|ORK|Orks
000000027|Shoota|Ranged Weapons||False|ORK|Orks
000000028|Skorcha|Ranged Weapons||False|ORK|Orks
000000029|Skorcha missile racks|Ranged Weapons||False|ORK|Orks
000000030|Slugga|Ranged Weapons||False|ORK|Orks
000000031|Smasha gun|Ranged Weapons||False|ORK|Orks
000000032|Snazzgun|Ranged Weapons||False|ORK|Orks
000000034|Stikkbombz|Ranged Weapons||False|ORK|Orks
000000035|Stikkbomb flinga|Ranged Weapons||False|ORK|Orks
s00000035|Squig hound|Other Wargear|"The bearer gains the following ability: ‘<span class=""redfont"">Squig Hound (Aura)</span><b>:</b> While a friendly <span class=""tooltip00528"" data-tooltip-content=""#tooltip_content00528"" data-tooltip-anchor=""#tooltip_content00528""><span class=""kwb"">GRETCHIN</span> <span class=""kwb"">INFANTRY</span></span> unit is within 3"" of the bearer, models in that unit ignore modifiers to <a href=""/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests"">Combat Attrition tests</a>.’"|False|ORK|Orks
000000036|Supa-shoota|Ranged Weapons||False|ORK|Orks
s00000036|Grot-lash|Other Wargear|"The bearer gains the following ability: ‘<span class=""redfont"">Grot Lash (Aura)</span><b>:</b> While a friendly <span class=""tooltip00528"" data-tooltip-content=""#tooltip_content00528"" data-tooltip-anchor=""#tooltip_content00528""><span class=""kwb"">GRETCHIN</span> <span class=""kwb"">INFANTRY</span></span> unit is within 3"" of any models equipped with a grot-lash, add 1"" to the Move characteristic of models in that unit.’"|False|ORK|Orks
000000037|Supa-gatler|Ranged Weapons||False|ORK|Orks
000000038|Supa-rokkits|Ranged Weapons||False|ORK|Orks
000000039|Tankbusta bomb|Ranged Weapons||False|ORK|Orks
000000040|Tellyport blasta|Ranged Weapons||False|ORK|Orks
s00000040|Bomb squig|Other Wargear|"Once per turn, when a unit with a bomb squig is selected to shoot or fire <a href=""/wh40k9ed/the-rules/core-rules/#Overwatch"">Overwatch</a>, if it has any bomb squigs remaining, the unit can release one. When it does so, you can select one enemy unit (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a>) that is within 12"" of the unit with a bomb squig (when firing Overwatch this must be the <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charging</a> unit) and roll one D6, adding 1 to the result if that enemy unit is a <span class=""kwb"">VEHICLE</span>: on a 3+, that enemy unit suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>. The number of bomb squigs the unit is equipped with is then reduced by 1.<br><br><i>We recommend placing a Bomb Squig model next to the unit for each bomb squig it is equipped with as a reminder, removing one each time this ability is used (a Bomb Squig does not count as a model for any rule"|False|ORK|Orks
000000041|Tellyport mega-blasta|Ranged Weapons||False|ORK|Orks
000000042|Traktor kannon|Ranged Weapons||False|ORK|Orks
000000043|Twin big shoota|Ranged Weapons||False|ORK|Orks
s00000043|Ammo runt|Other Wargear|"Once per battle, when the bearer makes a ranged attack, you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.<br><br><i>We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).</i>"|False|ORK|Orks
000000044|Wazbom mega-kannon|Ranged Weapons||False|ORK|Orks
000000045|Zzap gun|Ranged Weapons||False|ORK|Orks
000000046|Big choppa|Melee Weapons||False|ORK|Orks
000000047|Burna (melee)|Melee Weapons||False|ORK|Orks
000000048|Choppa|Melee Weapons||False|ORK|Orks
000000049|Deff rolla|Melee Weapons||False|ORK|Orks
000000050|Dread klaw|Melee Weapons||False|ORK|Orks
000000051|Grabba stikk|Melee Weapons||False|ORK|Orks
