wargear_id|line|name|Range|type|S|AP|D|abilities
2|1|Big shoota|36|Dakka 5/3|5|0|1|
4|1|1: Big bubble|48|Heavy 3D3|6|-2|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
4|2|2: Wobbly bubble|48|Heavy D6|8|-3|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
4|3|3: Dense bubble|48|Heavy 1|10|-4|D3+3|
5|1|Burna (shooting)|8|Assault D3|4|0|1|Before a unit fires this weapon, roll once for the number of attacks and use this for all burnas fired by the unit until the end of the phase. This weapon automatically hits its target.
7|1|Dakkagun|18|Dakka 5/3|5|0|1|
8|1|Deffgun|48|Dakka 3/2|7|-1|2|
9|1|Deffkannon|72|Heavy 3D6|10|-4|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
10|1|Deffstorm mega-shoota|36|Dakka 30/20|6|-1|1|
11|1|Grot blasta|12|Pistol 1|3|0|1|
12|1|Grotzooka|18|Heavy 2D3|6|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
13|1|Frag|36|Heavy D6|5|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
13|2|Shell|36|Heavy 1|8|-2|D6|
14|1|Rokkit|24|Heavy D3|8|-2|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
14|2|Shoota|18|Dakka 3/2|4|0|1|
15|1|Skorcha|12|Assault D6|5|-1|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.
15|2|Shoota|18|Dakka 3/2|4|0|1|
16|1|Kopta rokkits|24|Heavy 2D3|8|-2|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
17|1|Kustom mega-blasta|24|Assault D3|8|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
