datasheet_id|line|name|WS|BS|S|T|W|A|Sv|Cost|cost_description|models_per_unit|cost_including_wargear
1|1|warboss|2+|5+|6|6|6|5|4+|90.0||1|False
2|1|warboss in mega armour|2+|5+|6|6|7|5|2+|115.0||1|False
3|1|warboss on warbike|2+|5+|6|7|7|5|4+|115.0||1|False
4|1|weirdboy|3+|5+|5|5|5|3|6+|70.0||1|False
5|1|big mek|3+|5+|5|4|4|3|4+|55.0||1|False
5|2|grot oiler|5+|4+|2|2|1|1|6+|4.0||0-1|False
6|1|big mek in mega armour|3+|4+|5|5|6|3|2+|85.0||1|False
7|1|big mek on warbike|3+|5+|5|5|5|3|4+|81.0||1|False
8|1|ghazghkull thraka|2+|5+|7|7|12|5|2+|300.0||1|False
9|1|kaptin badrukk|2+|4+|5|6|6|5|3+|95.0||1|False
10|1|boss zagstruk|2+|5+|6|6|6|6|4+|110.0||1|False
11|1|boss snikrot|2+|5+|6|6|6|6|6+|95.0||1|False
12|1|mek|3+|5+|4|5|3|2|6+|25.0||1|False
13|1|painboy|3+|5+|5|5|4|4|6+|70.0||1|False
14|1|painboy on warbike|3+|5+|5|5|5|4|4+|90.0||1|False
15|1|mad dok grotsnik|2+|5+|5|5|4|4|4+|85.0||1|False
16|1|ork boy|3+|5+|4|5|1|2|6+|8.0||9-29|False
16|2|boss nob|3+|5+|5|5|2|3|6+|8.0||1|False
17|1|gretchin|5+|4+|2|3|1|1|7+|4.0||10-30|False
18|1|runtherd|3+|5+|4|5|4|3|6+|30.0||1|False
19|1|burna boy|3+|5+|4|5|1|2|6+|10.0||4-12|False
19|2|spanner|3+|5+|4|5|1|2|6+|10.0||1-3|False
20|1|tankbusta|3+|5+|4|5|1|2|6+|16.0||4-14|False
20|2|boss nob|3+|5+|5|5|2|3|6+|16.0||1|False
21|1|nob|3+|5+|5|5|2|3|4+|17.0||4-9|False
21|2|boss nob|3+|5+|5|5|2|3|4+|17.0||1|False
22|1|nob with waaagh! banner|3+|5+|5|5|4|3|4+|70.0||1|False
24|1|meganob|3+|5+|5|5|3|3|2+|30.0||2-9|False
24|2|boss meganob|3+|5+|5|5|3|3|2+|30.0||1|False
25|1|kommando|3+|5+|4|5|1|2|6+|11.0||4-14|False
25|2|boss nob|3+|5+|5|5|2|3|6+|11.0||1|False
26|1|trukk|5+|5+|6|6|10|3|4+|70.0||1|False
27|1|stormboy|3+|5+|4|5|1|2|6+|10.0||4-14|False
27|2|boss nob|3+|5+|5|5|2|3|6+|10.0||1|False
28|1|deffkopta|3+|5+|4|5|4|2|4+|50.0||3-6|False
29|1|dakkajet|5+|5+|6|6|12|3|4+|100.0||1|False
30|1|burna-bommer|5+|5+|6|6|12|3|4+|135.0||1|False
31|1|blitza-bommer|5+|5+|6|6|12|3|4+|150.0||1|False
32|1|wazbom blastajet|5+|4+|6|6|12|3|4+|170.0||1|False
33|1|warbiker|3+|5+|4|5|3|2|4+|25.0||2-8|False
33|2|boss nob on warbike|3+|5+|5|5|4|3|4+|25.0||1|False
34|1|wartrakk|3+|5+|4|5|6|4|4+|37.0||1-5|False
35|1|skorcha|3+|5+|4|5|6|4|4+|37.0||1-5|False
36|1|warbuggy|3+|5+|4|5|5|4|4+|33.0||1-5|False
37|1|big gun|5+|4+|2|5|3|2|5+|8.0||1-6|False
38|1|mek gun|5+|4+|2|5|6|6|5+|40.0||1-3|False
39|1|battlewagon|5+|5+|8|7|16|6|3+|105.0||1|False
40|1|deff dread|3+|5+|5|7|8|3|3+|85.0||1-3|False
41|1|killa kan|4+|4+|5|5|5|3|3+|35.0||3-6|False
42|1|morkanaut|3+|5+|8|8|24|4|3+|350.0||1|False
43|1|gorkanaut|3+|5+|8|8|24|5|3+|365.0||1|False
44|1|loota|3+|5+|4|5|1|2|6+|14.0||4-12|False
44|2|spanner|3+|5+|4|5|1|2|6+|14.0||1-3|False
45|1|flash git|3+|4+|5|5|2|3|4+|25.0||4-9|False
45|2|kaptin|3+|4+|5|5|2|3|4+|25.0||1|False
46|1|stompa|3+|5+|10|8|40|6|3+|675.0||1|False
47|1|zhadsnark da ripper|2+|5+|6|6|7|5|4+|120.0||1|False
48|1|mek boss buzzgob|3+|4+|5|5|6|4|4+|||1|False
49|1|grot tank|6+|4+|4|5|4|2|3+|35.0||3-7|False
49|2|kommanda|6+|4+|4|5|4|3|3+|35.0||1|False
50|1|grot mega-tank|5+|4+|6|6|11|4|3+|90.0||1|False
51|1|squiggoth|3+|5+|8|8|18|4|3+|170.0||1|False
52|1|meka-dread|3+|4+|7|7|16|4|3+|165.0||1|False
53|1|lifta wagon|5+|5+|8|7|16|6|4+|155.0||1|False
54|1|big trakk|5+|5+|6|6|12|4|4+|85.0||1|False
55|1|kannonwagon|5+|5+|8|7|16|6|3+|150.0||1|False
56|1|kill tank|4+|5+|8|8|24|8|3+|275.0||1|False
57|1|chinork warkopta|3+|5+|6|6|10|3|4+|100.0||1|False
58|1|kustom stompa|3+|5+|10|8|40|6|3+|700.0||1|False
59|1|gargantuan squiggoth|3+|5+|12|8|36|8|3+|460.0||1|False
60|1|captain|2+|2+|4|4|5|4|3+|85.0||1|False
61|1|captain in terminator armour|2+|2+|4|4|6|4|2+|100.0||1|False
63|1|captain in gravis armour|2+|2+|4|5|7|5|3+|115.0||1|False
64|1|captain on bike|2+|2+|4|5|6|4|3+|100.0||1|False
65|1|librarian|3+|3+|4|4|4|3|3+|90.0||1|False
66|1|librarian in terminator armour|3+|3+|4|4|5|3|2+|105.0||1|False
67|1|librarian on bike|3+|3+|4|5|5|3|3+|119.0||1|False
68|1|techmarine|3+|2+|4|4|4|3|2+|70.0||1|False
69|1|servitor|5+|5+|3|3|1|1|4+|||4|False
70|1|techmarine on bike|3+|2+|4|5|5|3|2+|70.0||1|False
71|1|chaplain|2+|3+|4|4|4|3|3+|80.0||1|False
72|1|chaplain in terminator armour|2+|3+|4|4|5|3|2+|95.0||1|False
73|1|chaplain on bike|2+|3+|4|5|5|3|3+|95.0||1|False
74|1|apothecary|3+|3+|4|4|4|3|3+|75.0||1|False
75|1|apothecary on bike|3+|3+|4|5|5|3|3+|80.0||1|False
76|1|primaris lieutenant|2+|2+|4|4|5|4|3+|75.0||1|False
77|1|company ancient|3+|3+|4|4|4|3|3+|75.0||1|False
