id|name|type|description|is_relic|faction_id|faction_name
000000002|big shoota|ranged weapons||False|ork|orks
000000004|bubblechukka|ranged weapons|after selecting targets, roll one d3 to determine which of the profiles below to make attacks with. if a unit contains more than one bubblechukka that is targeting the same unit, determine the profiles for each weapon separately before any attacks are resolved against that target.|False|ork|orks
000000005|burna (shooting)|ranged weapons||False|ork|orks
000000007|dakkagun|ranged weapons||False|ork|orks
000000008|deffgun|ranged weapons||False|ork|orks
000000009|deffkannon|ranged weapons||False|ork|orks
s00000010|grot oiler|other wargear|"once per battle, when the bearer repairs a <span class=""tooltip00526"" data-tooltip-content=""#tooltip_content00526"" data-tooltip-anchor=""#tooltip_content00526""><span class=""kwb"">vehicle</span></span> model, that model can regain 1 additional lost wound.<br><br><i>we recommend placing a grot oiler model next to the unit as a reminder, removing it once this ability has been used (a grot oiler does not count as a model for any rules purposes).</i>"|False|ork|orks
000000010|deffstorm mega-shoota|ranged weapons||False|ork|orks
000000011|grot blasta|ranged weapons||False|ork|orks
s00000012|blastajet force field|other wargear|"(aura) while a friendly <span class=""tooltip00527"" data-tooltip-content=""#tooltip_content00527"" data-tooltip-anchor=""#tooltip_content00527""><span class=""kwb"">orks</span> <span class=""kwb"">aircraft</span></span> model is within 9"" of the bearer, it has a 5+ <a href=""/wh40k9ed/the-rules/core-rules/#invulnerable-saves"">invulnerable save</a>. the range of this <a href=""/wh40k9ed/the-rules/core-rules/#aura-abilities"">aura ability</a> can never be increased, unless specifically stated otherwise."|False|ork|orks
000000012|grotzooka|ranged weapons||False|ork|orks
000000013|kannon|ranged weapons|before selecting targets, select one of the profiles below to make attacks with.|False|ork|orks
000000014|kombi-rokkit|ranged weapons|"before selecting targets, select one or both of the profiles below to make attacks with. if you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-hit-roll"">hit roll</a>."|False|ork|orks
000000015|kombi-skorcha|ranged weapons|"before selecting targets, select one or both of the profiles below to make attacks with. if you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-hit-roll"">hit roll</a>."|False|ork|orks
s00000016|ammo runt|other wargear|"once per battle, when the bearer makes a ranged attack, you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-hit-roll"">hit roll</a>.<br><br><i>we recommend placing an ammo runt model next to the unit as a reminder, removing it once this ability has been used (an ammo runt does not count as a model for any rules purposes).</i>"|False|ork|orks
000000016|kopta rokkits|ranged weapons||False|ork|orks
000000017|kustom mega-blasta|ranged weapons||False|ork|orks
000000018|kustom mega-kannon|ranged weapons||False|ork|orks
000000019|kustom mega-slugga|ranged weapons||False|ork|orks
000000020|kustom shoota|ranged weapons||False|ork|orks
000000021|lobba|ranged weapons||False|ork|orks
000000022|pair of rokkit pistols|ranged weapons||False|ork|orks
000000023|rack of rokkits|ranged weapons||False|ork|orks
000000024|da rippa|ranged weapons|before selecting targets, select one of the profiles below to make attacks with.|False|ork|orks
000000025|rokkit launcha|ranged weapons||False|ork|orks
000000026|shokk attack gun|ranged weapons||False|ork|orks
s00000027|grot orderly|other wargear|"once per battle, if a 1 is rolled when using the bearer’s <span class=""redfont"">sawbonez</span> ability you can re-roll the dice.<br><br><i>we recommend placing a grot orderly model next to the unit os a reminder, removing it once this ability has been used (a grot orderly does not count as a model for any rules purposes).</i>"|False|ork|orks
000000027|shoota|ranged weapons||False|ork|orks
000000028|skorcha|ranged weapons||False|ork|orks
000000029|skorcha missile racks|ranged weapons||False|ork|orks
000000030|slugga|ranged weapons||False|ork|orks
000000031|smasha gun|ranged weapons||False|ork|orks
000000032|snazzgun|ranged weapons||False|ork|orks
000000034|stikkbombz|ranged weapons||False|ork|orks
000000035|stikkbomb flinga|ranged weapons||False|ork|orks
s00000035|squig hound|other wargear|"the bearer gains the following ability: ‘<span class=""redfont"">squig hound (aura)</span><b>:</b> while a friendly <span class=""tooltip00528"" data-tooltip-content=""#tooltip_content00528"" data-tooltip-anchor=""#tooltip_content00528""><span class=""kwb"">gretchin</span> <span class=""kwb"">infantry</span></span> unit is within 3"" of the bearer, models in that unit ignore modifiers to <a href=""/wh40k9ed/the-rules/core-rules/#combat-attrition-tests"">combat attrition tests</a>.’"|False|ork|orks
000000036|supa-shoota|ranged weapons||False|ork|orks
s00000036|grot-lash|other wargear|"the bearer gains the following ability: ‘<span class=""redfont"">grot lash (aura)</span><b>:</b> while a friendly <span class=""tooltip00528"" data-tooltip-content=""#tooltip_content00528"" data-tooltip-anchor=""#tooltip_content00528""><span class=""kwb"">gretchin</span> <span class=""kwb"">infantry</span></span> unit is within 3"" of any models equipped with a grot-lash, add 1"" to the move characteristic of models in that unit.’"|False|ork|orks
000000037|supa-gatler|ranged weapons||False|ork|orks
000000038|supa-rokkits|ranged weapons||False|ork|orks
000000039|tankbusta bomb|ranged weapons||False|ork|orks
000000040|tellyport blasta|ranged weapons||False|ork|orks
s00000040|bomb squig|other wargear|"once per turn, when a unit with a bomb squig is selected to shoot or fire <a href=""/wh40k9ed/the-rules/core-rules/#overwatch"">overwatch</a>, if it has any bomb squigs remaining, the unit can release one. when it does so, you can select one enemy unit (excluding <a href=""/wh40k9ed/the-rules/core-rules/#aircraft""><span class=""kwb"">aircraft</span></a>) that is within 12"" of the unit with a bomb squig (when firing overwatch this must be the <a href=""/wh40k9ed/the-rules/core-rules/#charging-with-a-unit"">charging</a> unit) and roll one d6, adding 1 to the result if that enemy unit is a <span class=""kwb"">vehicle</span>: on a 3+, that enemy unit suffers d3 <a href=""/wh40k9ed/the-rules/core-rules/#mortal-wounds"">mortal wounds</a>. the number of bomb squigs the unit is equipped with is then reduced by 1.<br><br><i>we recommend placing a bomb squig model next to the unit for each bomb squig it is equipped with as a reminder, removing one each time this ability is used (a bomb squig does not count as a model for any rule"|False|ork|orks
000000041|tellyport mega-blasta|ranged weapons||False|ork|orks
000000042|traktor kannon|ranged weapons||False|ork|orks
000000043|twin big shoota|ranged weapons||False|ork|orks
s00000043|ammo runt|other wargear|"once per battle, when the bearer makes a ranged attack, you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-hit-roll"">hit roll</a>.<br><br><i>we recommend placing an ammo runt model next to the unit as a reminder, removing it once this ability has been used (an ammo runt does not count as a model for any rules purposes).</i>"|False|ork|orks
000000044|wazbom mega-kannon|ranged weapons||False|ork|orks
000000045|zzap gun|ranged weapons||False|ork|orks
000000046|big choppa|melee weapons||False|ork|orks
000000047|burna (melee)|melee weapons||False|ork|orks
000000048|choppa|melee weapons||False|ork|orks
000000049|deff rolla|melee weapons||False|ork|orks
000000050|dread klaw|melee weapons||False|ork|orks
000000051|grabba stikk|melee weapons||False|ork|orks
000000052|grabbin’ klaw|melee weapons||False|ork|orks
000000053|grot-prod|melee weapons||False|ork|orks
000000054|kan klaw|melee weapons||False|ork|orks
000000055|killsaw|melee weapons||False|ork|orks
000000056|klaw of gork (or possibly mork)|melee weapons|each time an attack is made with this weapon, select one of the profiles below to make that attack with.|False|ork|orks
000000058|mega-choppa|melee weapons|each time an attack is made with this weapon, select one of the profiles below to make that attack with.|False|ork|orks
000000059|mork’s teeth|melee weapons||False|ork|orks
000000060|power klaw|melee weapons||False|ork|orks
