wargear_id|line|name|Range|type|S|AP|D|abilities
2|1|big shoota|"36"""|dakka 5/3|5|0|1|
4|1|1: big bubble|"48"""|heavy 3d3|6|-2|1|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
4|2|2: wobbly bubble|"48"""|heavy d6|8|-3|3|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
4|3|3: dense bubble|"48"""|heavy 1|10|-4|d3+3|
5|1|burna (shooting)|"8"""|assault d3|4|0|1|before a unit fires this weapon, roll once for the number of attacks and use this for all burnas fired by the unit until the end of the phase. this weapon automatically hits its target.
7|1|dakkagun|"18"""|dakka 5/3|5|0|1|
8|1|deffgun|"48"""|dakka 3/2|7|-1|2|
9|1|deffkannon|"72"""|heavy 3d6|10|-4|d6|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
10|1|deffstorm mega-shoota|"36"""|dakka 30/20|6|-1|1|
11|1|grot blasta|"12"""|pistol 1|3|0|1|
12|1|grotzooka|"18"""|heavy 2d3|6|0|1|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
13|1|frag|"36"""|heavy d6|5|0|1|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
13|2|shell|"36"""|heavy 1|8|-2|d6|
14|1|rokkit|"24"""|heavy d3|8|-2|3|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
14|2|shoota|"18"""|dakka 3/2|4|0|1|
15|1|skorcha|"12"""|assault d6|5|-1|1|each time an attack is made with this weapon profile, that attack automatically hits the target.
15|2|shoota|"18"""|dakka 3/2|4|0|1|
16|1|kopta rokkits|"24"""|heavy 2d3|8|-2|3|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>"
17|1|kustom mega-blasta|"24"""|assault d3|8|-3|d6|"<a href=""/wh40k9ed/the-rules/core-rules/#blast-weapons"">blast</a>. if any unmodified <a href=""/wh40k9ed/the-rules/core-rules/#1.-hit-roll"">hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#mortal-wounds"">mortal wound</a> after shooting with this weapon."
